               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.048776,             0.13495,             0.01814,             0.60128,             0.36049,             0.38708,             0.22814,            0.058916,             0.29717,             0.02818,           0.0086536,           0.0086536,           0.0086536
                 138,            0.048551,               0.136,            0.017929,             0.59947,             0.36286,             0.38425,             0.22718,            0.058988,             0.29741,             0.02826,           0.0086437,           0.0086437,           0.0086437
                 139,            0.048711,             0.13561,            0.017816,             0.59912,              0.3619,              0.3874,             0.23144,            0.059115,             0.29894,            0.028168,           0.0086338,           0.0086338,           0.0086338
                 140,            0.048975,             0.13817,            0.018219,             0.62089,             0.35577,             0.38578,             0.23164,            0.058977,             0.29839,            0.028082,           0.0086239,           0.0086239,           0.0086239
                 141,             0.04824,             0.13508,            0.017726,             0.60558,             0.36097,             0.39318,             0.23936,            0.058675,             0.29885,            0.028041,            0.008614,            0.008614,            0.008614
                 142,            0.048939,             0.13385,            0.018082,             0.58897,             0.36447,             0.39058,             0.23574,            0.058796,             0.29707,            0.028021,           0.0086041,           0.0086041,           0.0086041
                 143,            0.048416,             0.13715,            0.017838,             0.61001,              0.3664,             0.39183,             0.23522,            0.058839,             0.29755,            0.027991,           0.0085942,           0.0085942,           0.0085942
                 144,            0.048475,             0.13043,            0.017582,             0.60908,             0.36427,             0.39049,             0.23633,            0.058853,             0.29853,              0.0281,           0.0085843,           0.0085843,           0.0085843
                 145,            0.048527,             0.13622,            0.017763,             0.61669,             0.36601,              0.3978,             0.23653,            0.058832,             0.29998,             0.02808,           0.0085744,           0.0085744,           0.0085744
                 146,            0.048633,             0.13621,            0.017882,             0.61095,             0.37094,             0.39962,             0.23678,             0.05866,             0.29928,            0.028035,           0.0085645,           0.0085645,           0.0085645
                 147,            0.048241,             0.13632,            0.017559,             0.59816,             0.36993,             0.39179,             0.23454,            0.058653,             0.29954,            0.028119,           0.0085546,           0.0085546,           0.0085546
                 148,            0.048411,             0.13522,            0.017703,             0.61171,             0.36099,             0.38994,             0.23402,            0.058693,             0.29855,            0.028222,           0.0085447,           0.0085447,           0.0085447
                 149,            0.047738,             0.13322,            0.017292,              0.5999,             0.36404,             0.39119,             0.23523,            0.058863,             0.30057,            0.028293,           0.0085348,           0.0085348,           0.0085348
                 150,            0.048298,             0.13765,            0.017654,             0.61307,             0.37183,             0.39891,             0.24154,            0.058484,              0.2987,            0.028026,           0.0085249,           0.0085249,           0.0085249
                 151,            0.048242,             0.13813,             0.01764,              0.6184,             0.36431,             0.39812,             0.24052,            0.058578,             0.29979,            0.028093,            0.008515,            0.008515,            0.008515
                 152,            0.048013,             0.13473,            0.017445,             0.60057,             0.36182,              0.3865,             0.23295,            0.058686,             0.29859,            0.028033,           0.0085051,           0.0085051,           0.0085051
